Date,Dividends
2016-02-09,0.730000
2015-11-09,0.730000
2015-08-11,0.730000
2015-05-11,0.730000
2015-02-06,0.690000
2014-11-07,0.690000
2014-08-11,0.690000
2014-05-09,0.690000
2014-02-06,0.630000
2013-11-07,0.630000
2013-08-09,0.630000
2013-05-09,0.630000
2013-02-07,0.570000
2012-11-07,0.570000
2012-08-09,0.570000
2012-05-10,0.570000
2012-02-08,0.470000
2011-11-08,0.470000
2011-08-10,0.470000
2011-05-11,0.470000
2011-02-08,0.440000
2010-11-09,0.440000
2010-08-11,0.440000
2010-05-11,0.440000
2010-02-08,0.420000
